player_ref_id,points_per_game,rebounds_per_game,assists_per_game,effective_fgp,efficiency_rating,win_shares,value_over_replacement,true_shooting_pct,steals_per_game,blocks_per_game,minutes_per_game
siberjo01,3.0,,,1.5,29.7,0.0,0.0,1.5,-1.0,-1.0,4.0
sikmaja01,15.616079494128275,9.770551038843722,3.1508581752484193,0.471,17.3,112.5,37.0,0.54,1.0496838301716351,0.9467028003613369,33.37217705510388
silasxa01,2.75,1.5,0.75,0.25,-0.7,-0.1,-0.1,0.285,0.25,-1.0,11.5
silerga01,2.142857142857143,1.3333333333333333,0.14285714285714285,0.548,13.5,0.1,-0.1,0.553,0.047619047619047616,0.19047619047619047,4.809523809523809
silvach01,3.022727272727273,2.8636363636363638,0.5227272727272727,0.615,17.3,1.3,0.0,0.651,0.20454545454545456,0.4772727272727273,7.863636363636363
simiewa01,3.3137254901960786,1.9411764705882353,0.21568627450980393,0.469,10.5,0.9,-0.3,0.525,0.29411764705882354,0.0196078431372549,9.941176470588236
simmobe01,16.37327188940092,8.294930875576037,7.953917050691245,0.56,20.1,24.4,11.2,0.578,1.7096774193548387,0.7557603686635944,34.327188940092164
simmobo01,8.989270386266094,3.8433476394849784,1.5236051502145922,0.49,12.9,20.1,3.6,0.533,0.8497854077253219,0.1781115879828326,24.706008583690988
simmoce01,2.1733333333333333,1.88,0.18666666666666668,0.409,7.3,0.1,-0.5,0.414,0.14666666666666667,0.4266666666666667,9.4
simmojo02,8.30232558139535,2.4069767441860463,1.872093023255814,0.484,11.0,6.2,-1.5,0.53,0.6124031007751938,0.2364341085271318,20.53488372093023
simmoko01,5.9393939393939394,1.5151515151515151,2.0606060606060606,0.452,7.7,-0.2,-0.8,0.49,0.5454545454545454,0.15151515151515152,19.545454545454547
simonan01,7.266666666666667,1.8333333333333333,1.2222222222222223,0.475,9.2,0.2,-1.0,0.506,0.3,0.1111111111111111,17.666666666666668
simsco01,1.2,1.2,0.2,0.429,7.4,0.0,0.0,0.429,-1.0,-1.0,4.8
simshe01,7.637037037037037,4.962962962962963,1.037037037037037,0.473,15.0,4.6,-0.5,0.525,0.562962962962963,0.4740740740740741,18.82962962962963
singlky01,6.533707865168539,2.8820224719101124,0.7640449438202247,0.493,9.5,10.0,-0.9,0.527,0.5702247191011236,0.3089887640449438,21.89325842696629
singlse01,2.4324324324324325,0.9459459459459459,0.7837837837837838,0.424,6.7,0.0,-0.2,0.478,0.2972972972972973,-1.0,8.18918918918919
singlch01,4.135135135135135,3.189189189189189,0.6216216216216216,0.423,8.2,2.3,-0.8,0.449,0.7905405405405406,0.38513513513513514,17.60135135135135
singlja01,3.925925925925926,3.7448559670781894,0.448559670781893,0.485,14.0,8.1,0.8,0.538,0.3991769547325103,0.48148148148148145,13.382716049382717
sivape01,2.25,0.5833333333333334,1.4166666666666667,0.377,5.7,-0.2,-0.2,0.425,0.375,0.041666666666666664,9.333333333333334
skinnbr01,4.730263157894737,4.672697368421052,0.47368421052631576,0.494,12.0,15.8,-1.5,0.514,0.42105263157894735,0.875,17.94407894736842
slayta01,2.621212121212121,1.0606060606060606,0.4696969696969697,0.394,6.5,-0.3,-0.5,0.405,0.3939393939393939,0.06060606060606061,7.833333333333333
sloando01,5.454128440366972,2.0871559633027523,2.9862385321100917,0.454,11.9,4.0,-0.1,0.491,0.38073394495412843,0.03669724770642202,17.19724770642202
sloanje01,14.001324503311258,7.437086092715232,2.5496688741721854,,13.2,49.5,4.1,0.477,0.5046357615894039,0.0423841059602649,34.10596026490066
slokaur01,1.9,0.7,0.05,0.558,13.9,0.1,-0.1,0.599,0.05,0.1,3.6
